attack(Bandit, Guard, Crossroads)
attack(Bandit, Guard, Market)
attack(Bandit, Merchant, Camp)
attack(Bandit, Merchant, Cottage)
attack(Bandit, Merchant, Crossroads)
attack(Bandit, Merchant, Market)
attack(Bandit, Player, Camp)
attack(Bandit, Player, Cottage)
attack(Bandit, Player, Crossroads)
attack(Bandit, Player, Market)
attack(Guard, Bandit, Camp)
attack(Guard, Bandit, Cottage)
attack(Guard, Bandit, Crossroads)
attack(Guard, Bandit, Market)
attack(Guard, Player, Camp)
attack(Guard, Player, Cottage)
attack(Guard, Player, Crossroads)
attack(Guard, Player, Market)
attack(Merchant, Bandit, Camp)
attack(Merchant, Bandit, Cottage)
attack(Merchant, Bandit, Crossroads)
attack(Merchant, Bandit, Market)
attack(Merchant, Player, Camp)
attack(Merchant, Player, Cottage)
attack(Merchant, Player, Crossroads)
attack(Merchant, Player, Market)
attack(Player, Bandit, Camp)
attack(Player, Bandit, Cottage)
attack(Player, Bandit, Crossroads)
attack(Player, Bandit, Market)
attack(Player, Guard, Camp)
attack(Player, Guard, Cottage)
attack(Player, Guard, Crossroads)
attack(Player, Guard, Market)
attack(Player, Merchant, Camp)
attack(Player, Merchant, Cottage)
attack(Player, Merchant, Crossroads)
attack(Player, Merchant, Market)
buy(Bandit, Medicine, Merchant, BanditCoin, Camp)
buy(Bandit, Medicine, Merchant, BanditCoin, Cottage)
buy(Bandit, Medicine, Merchant, BanditCoin, Crossroads)
buy(Bandit, Medicine, Merchant, BanditCoin, Market)
buy(Bandit, Medicine, Merchant, PlayerCoin, Camp)
buy(Bandit, Medicine, Merchant, PlayerCoin, Cottage)
buy(Bandit, Medicine, Merchant, PlayerCoin, Crossroads)
buy(Bandit, Medicine, Merchant, PlayerCoin, Market)
buy(Bandit, MerchantSword, Merchant, BanditCoin, Camp)
buy(Bandit, MerchantSword, Merchant, BanditCoin, Cottage)
buy(Bandit, MerchantSword, Merchant, BanditCoin, Crossroads)
buy(Bandit, MerchantSword, Merchant, BanditCoin, Market)
buy(Bandit, MerchantSword, Merchant, PlayerCoin, Camp)
buy(Bandit, MerchantSword, Merchant, PlayerCoin, Crossroads)
buy(Bandit, MerchantSword, Merchant, PlayerCoin, Market)
buy(Guard, MerchantSword, Merchant, BanditCoin, Camp)
buy(Guard, MerchantSword, Merchant, BanditCoin, Cottage)
buy(Guard, MerchantSword, Merchant, BanditCoin, Crossroads)
buy(Guard, MerchantSword, Merchant, BanditCoin, Market)
buy(Player, Medicine, Merchant, BanditCoin, Camp)
buy(Player, Medicine, Merchant, BanditCoin, Cottage)
buy(Player, Medicine, Merchant, BanditCoin, Crossroads)
buy(Player, Medicine, Merchant, BanditCoin, Market)
buy(Player, Medicine, Merchant, PlayerCoin, Camp)
buy(Player, Medicine, Merchant, PlayerCoin, Cottage)
buy(Player, Medicine, Merchant, PlayerCoin, Crossroads)
buy(Player, Medicine, Merchant, PlayerCoin, Market)
buy(Player, MerchantSword, Merchant, BanditCoin, Cottage)
buy(Player, MerchantSword, Merchant, BanditCoin, Crossroads)
buy(Player, MerchantSword, Merchant, PlayerCoin, Cottage)
buy(Player, MerchantSword, Merchant, PlayerCoin, Crossroads)
loot(Bandit, BanditCoin, Merchant, Camp)
loot(Player, GuardSword, Guard, Camp)
loot(Player, GuardSword, Guard, Cottage)
loot(Player, GuardSword, Guard, Crossroads)
loot(Player, GuardSword, Guard, Market)
loot(Player, GuardSword, Merchant, Camp)
loot(Player, GuardSword, Merchant, Cottage)
loot(Player, GuardSword, Merchant, Crossroads)
loot(Player, GuardSword, Merchant, Market)
loot(Player, Medicine, Bandit, Camp)
loot(Player, Medicine, Bandit, Cottage)
loot(Player, Medicine, Bandit, Crossroads)
loot(Player, Medicine, Bandit, Market)
loot(Player, Medicine, Merchant, Camp)
loot(Player, Medicine, Merchant, Cottage)
loot(Player, Medicine, Merchant, Crossroads)
loot(Player, Medicine, Merchant, Market)
loot(Player, MerchantSword, Bandit, Camp)
loot(Player, MerchantSword, Bandit, Cottage)
loot(Player, MerchantSword, Bandit, Crossroads)
loot(Player, MerchantSword, Bandit, Market)
loot(Player, MerchantSword, Merchant, Camp)
loot(Player, MerchantSword, Merchant, Cottage)
loot(Player, MerchantSword, Merchant, Crossroads)
loot(Player, MerchantSword, Merchant, Market)
loot(Player, PlayerCoin, Bandit, Camp)
loot(Player, PlayerCoin, Bandit, Cottage)
loot(Player, PlayerCoin, Bandit, Crossroads)
loot(Player, PlayerCoin, Bandit, Market)
loot(Player, PlayerCoin, Merchant, Camp)
loot(Player, PlayerCoin, Merchant, Cottage)
loot(Player, PlayerCoin, Merchant, Crossroads)
loot(Player, PlayerCoin, Merchant, Market)
report(Player, Guard, Camp, Cottage)
report(Player, Guard, Camp, Crossroads)
report(Player, Guard, Camp, Market)
report(Player, Guard, Cottage, Camp)
report(Player, Guard, Cottage, Crossroads)
report(Player, Guard, Cottage, Market)
report(Player, Guard, Crossroads, Camp)
report(Player, Guard, Crossroads, Cottage)
report(Player, Guard, Crossroads, Market)
report(Player, Guard, Market, Camp)
report(Player, Guard, Market, Cottage)
report(Player, Guard, Market, Crossroads)
rob(Bandit, BanditCoin, Merchant, Camp)
rob(Bandit, BanditCoin, Merchant, Cottage)
rob(Bandit, BanditCoin, Merchant, Crossroads)
rob(Bandit, BanditCoin, Merchant, Market)
rob(Bandit, BanditCoin, Player, Camp)
rob(Bandit, BanditCoin, Player, Cottage)
rob(Bandit, BanditCoin, Player, Crossroads)
rob(Bandit, BanditCoin, Player, Market)
rob(Bandit, Medicine, Merchant, Camp)
rob(Bandit, Medicine, Merchant, Cottage)
rob(Bandit, Medicine, Merchant, Crossroads)
rob(Bandit, Medicine, Merchant, Market)
rob(Bandit, Medicine, Player, Camp)
rob(Bandit, Medicine, Player, Cottage)
rob(Bandit, Medicine, Player, Crossroads)
rob(Bandit, Medicine, Player, Market)
rob(Bandit, PlayerCoin, Merchant, Camp)
rob(Bandit, PlayerCoin, Merchant, Cottage)
rob(Bandit, PlayerCoin, Merchant, Crossroads)
rob(Bandit, PlayerCoin, Merchant, Market)
rob(Bandit, PlayerCoin, Player, Camp)
rob(Bandit, PlayerCoin, Player, Cottage)
rob(Bandit, PlayerCoin, Player, Crossroads)
rob(Bandit, PlayerCoin, Player, Market)
rob(Player, BanditCoin, Merchant, Camp)
rob(Player, BanditCoin, Merchant, Cottage)
rob(Player, BanditCoin, Merchant, Crossroads)
rob(Player, BanditCoin, Merchant, Market)
rob(Player, Medicine, Merchant, Camp)
rob(Player, Medicine, Merchant, Cottage)
rob(Player, Medicine, Merchant, Crossroads)
rob(Player, Medicine, Merchant, Market)
rob(Player, PlayerCoin, Merchant, Camp)
rob(Player, PlayerCoin, Merchant, Cottage)
rob(Player, PlayerCoin, Merchant, Crossroads)
rob(Player, PlayerCoin, Merchant, Market)
take-out(Bandit, BanditCoin, Chest, Camp)
take-out(Merchant, BanditCoin, Chest, Camp)
take-out(Player, BanditCoin, Chest, Camp)
walk(Bandit, Camp, Crossroads)
walk(Bandit, Cottage, Crossroads)
walk(Bandit, Crossroads, Cottage)
walk(Bandit, Crossroads, Market)
walk(Bandit, Crossroads, Camp)
walk(Bandit, Market, Crossroads)
walk(Guard, Camp, Crossroads)
walk(Guard, Cottage, Crossroads)
walk(Guard, Crossroads, Cottage)
walk(Guard, Crossroads, Market)
walk(Guard, Crossroads, Camp)
walk(Guard, Market, Crossroads)
walk(Merchant, Camp, Crossroads)
walk(Merchant, Cottage, Crossroads)
walk(Merchant, Crossroads, Cottage)
walk(Merchant, Crossroads, Market)
walk(Merchant, Crossroads, Camp)
walk(Merchant, Market, Crossroads)
walk(Player, Camp, Crossroads)
walk(Player, Cottage, Crossroads)
walk(Player, Crossroads, Cottage)
walk(Player, Crossroads, Market)
walk(Player, Crossroads, Camp)
walk(Player, Market, Crossroads)
